AAF.L
AAL.L
AAS.L
ABDN.L
ABF.L
ADM.L
AEP.L
AGT.L
AIE.L
AJB.L
ALFA.L
ALW.L
AML.L
ANTO.L
AO.L
APN.L
ASHM.L
ASL.L
ATR.L
ATT.L
ATYM.L
AUTO.L
AV.L
AVON.L
AZN.L
BA.L
BAB.L
BAG.L
BARC.L
BATS.L
BBOX.L
BBY.L
BCG.L
BEZ.L
BGEO.L
BGFD.L
BHMG.L
BKG.L
BLND.L
BME.L
BNKR.L
BNZL.L
BOWL.L
BOY.L
BP.L
BPCR.L
BPT.L
BRBY.L
BREE.L
BRGE.L
BRSC.L
BRWM.L
BSIF.L
BTRW.L
BUT.L
BWY.L
BYG.L
BYIT.L
CBG.L
CCC.L
CCEP.L
CCH.L
CCL.L
CCR.L
CGT.L
CHG.L
CHRY.L
CKN.L
CLDN.L
CMCX.L
CNA.L
COA.L
COST.L
CPG.L
CRDA.L
CSN.L
CTEC.L
CTY.L
CURY.L
CVSG.L
CWK.L
CWR.L
DCC.L
DGE.L
DLN.L
DNLM.L
DOCS.L
DOM.L
DPLM.L
DRX.L
DSCV.L
EDIN.L
EDV.L
ELM.L
EMG.L
ENOG.L
ENT.L
ESCT.L
EWG.L
EWI.L
EXPN.L
EZJ.L
FAN.L
FCH.L
FCIT.L
FCSS.L
FEML.L
FEV.L
FGEN.L
FGP.L
FGT.L
FOUR.L
FRAS.L
FRES.L
FSG.L
FSV.L
GAMA.L
GAW.L
GBG.L
GCP.L
GDWN.L
GEN.L
GFRD.L
GFTU.L
GLEN.L
GNC.L
GNS.L
GPE.L
GRG.L
GRI.L
GROW.L
GSCT.L
GSK.L
HAS.L
HBR.L
HFEL.L
HFG.L
HGT.L
HICL.L
HIK.L
HILS.L
HLMA.L
HLN.L
HMSO.L
HOC.L
HRI.L
HSBA.L
HSL.L
HSX.L
HTG.L
HTWS.L
HVPE.L
HWDN.L
HWG.L
IAD.L
IAG.L
IBST.L
ICG.L
ICGT.L
IEM.L
IGG.L
IHG.L
IHP.L
III.L
IMB.L
IMI.L
INCH.L
INF.L
INPP.L
INVP.L
IPF.L
IPO.L
ITH.L
ITRK.L
ITV.L
IWG.L
JAM.L
JD.L
JDW.L
JEDT.L
JEGI.L
JEMI.L
JFJ.L
JGGI.L
JII.L
JMAT.L
JMG.L
JSG.L
JTC.L
JUP.L
KGF.L
KIE.L
KLR.L
KNOS.L
LAND.L
LGEN.L
LLOY.L
LMP.L
LRE.L
LSEG.L
LWDB.L
MAB.L
MEGP.L
MGAM.L
MGNS.L
MKS.L
MNDI.L
MNG.L
MNKS.L
MNTN.L
MONY.L
MOON.L
MRC.L
MRCH.L
MRO.L
MSLH.L
MTLN.L
MTO.L
MTRO.L
MUT.L
MYI.L
NAS.L
NBPE.L
NCC.L
NG.L
NWG.L
NXT.L
OCDO.L
OCI.L
ONT.L
OSB.L
OXB.L
OXIG.L
PAF.L
PAG.L
PAGE.L
PCGH.L
PCT.L
PETS.L
PEY.L
PFD.L
PHI.L
PHP.L
PIN.L
PINT.L
PLUS.L
PNL.L
PNN.L
POLN.L
PPET.L
PPH.L
PRN.L
PRU.L
PSH.L
PSN.L
PSON.L
PTEC.L
QLT.L
QQ.L
RAT.L
RCP.L
REL.L
RHIM.L
RICA.L
RIO.L
RKT.L
RMV.L
RNK.L
ROR.L
RPI.L
RR.L
RSW.L
RTO.L
RTW.L
SAFE.L
SAGA.L
SAIN.L
SBRY.L
SCT.L
SDLF.L
SDP.L
SDR.L
SEIT.L
SEQI.L
SGE.L
SGRO.L
SHAW.L
SHC.L
SHEL.L
SMIN.L
SMT.L
SMWH.L
SN.L
SNR.L
SOI.L
SPI.L
SPX.L
SRE.L
SRP.L
SSE.L
SSPG.L
STAN.L
STJ.L
SUPR.L
SVS.L
SVT.L
SYNC.L
TATE.L
TBCG.L
TCAP.L
TEM.L
TEP.L
TFIF.L
THG.L
THRG.L
THRL.L
TMPL.L
TPK.L
TRIG.L
TRN.L
TRST.L
TRY.L
TSCO.L
TW.L
UEM.L
UKW.L
ULVR.L
USA.L
UTG.L
UU.L
VCT.L
VEIL.L
VOD.L
VOF.L
VSVS.L
VTY.L
WEIR.L
WIX.L
WIZZ.L
WKP.L
WOSG.L
WPP.L
WTB.L
WWH.L
XPS.L
ZIG.L
